LHH.IDN,LHH.KUT,LHH.MES,LHH.VER,LHH.PUB,LHH.ACT,LHH.FST,LHH.INFO,LHH.UPS,LHH.UPD,LHH.UID,LHH.FVL,LHH.FVA,LHH.FSP,LHH.MRK,LHH.UUD,LHH.UVD,LHH.FIMP,LHH.C1,LHH.LX1,LHH.LX3,LHH.FRC,LHH.FVLD,LHH.FQLD,LHH.NVER,LHH.KAMT
001E,033CB5,201601,1,1,1,C,Importazione Telelettura,Bisuca,201602030813,201602030754,V,P,E,NULL,NULL,201602030837,R,8093.82,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,033CB5,201602,1,1,1,C,Importazione Telelettura,Bisuca,201603030948,201603030928,V,P,E,NULL,NULL,201603031006,R,9820.75999999998,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,033CB5,201603,1,1,1,C,Importazione Telelettura,Poirio,201604041734,201604040930,V,P,E,NULL,NULL,201604041810,R,9930.12000000002,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,033CB5,201604,1,1,1,C,Importazione Telelettura,Bisuca,201605031413,201605031328,V,P,E,NULL,NULL,201605031435,R,8436.83999999999,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,033CB5,201605,1,1,1,C,Importazione Telelettura,Poirio,201606031359,201606031353,V,P,E,NULL,NULL,201606031412,R,9558.28,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,033CB5,201606,1,1,1,C,Importazione Telelettura,Bisuca,201607040852,201607040804,V,P,E,NULL,NULL,201607040859,R,10599.74,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,033CB5,201607,1,1,1,C,Importazione Telelettura,Bisuca,201608040755,201608040746,V,P,E,NULL,NULL,201608040758,R,13745.96,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,033CB5,201608,1,1,1,C,Importazione Telelettura,Bisuca,201609050830,201609050806,V,P,E,NULL,NULL,201609050904,R,6514.29999999998,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,033CB5,201609,1,1,1,C,Importazione Telelettura,Bisuca,201610050859,201610050839,V,P,E,NULL,NULL,201610050917,R,10197.26,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,033CB5,201610,1,1,1,C,Importazione Telelettura,Bisuca,201611030858,201611030803,V,P,E,NULL,NULL,201611030920,R,9166.54,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,033CB5,201611,1,1,1,C,Importazione Telelettura,Bisuca,201612050823,201612050758,V,P,E,NULL,NULL,201612050904,R,9233.71999999997,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,033CB5,201612,1,1,1,C,Importazione Telelettura,Bisuca,201701030841,201701030743,V,P,E,NULL,NULL,201701030859,R,6698.79999999998,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,033CB5,201701,1,1,1,C,Importazione Telelettura,Bisuca,201702030821,201702030808,V,P,E,NULL,NULL,201702030902,R,7454.36000000001,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,033CB5,201702,1,1,1,C,Importazione Telelettura,Bisuca,201703030906,201703030841,V,P,E,NULL,NULL,201703030942,R,9366.26000000001,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,033CB5,201703,1,1,1,C,Importazione Telelettura,Poirio,201704041746,201704041701,V,P,E,NULL,NULL,201704050916,R,11188.44,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,033CB5,201704,1,1,1,C,Importazione Telelettura,Bisuca,201705040945,201705040925,V,P,E,NULL,NULL,201705041010,R,7263.55999999999,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,033CB5,201705,1,1,1,C,Importazione Telelettura,Bisuca,201706060928,201706060832,V,P,E,NULL,NULL,201706061018,R,8641.3,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,033CB5,201706,1,1,1,C,Importazione Telelettura,Bisuca,201707050753,201707041617,V,P,E,NULL,NULL,201707050806,R,9698.79999999999,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,033CB5,201707,1,1,1,C,Importazione Telelettura,Bisuca,201708030934,201708030811,V,P,E,NULL,NULL,201708031002,R,9543.38000000002,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,033CB5,201708,1,1,1,C,Importazione Telelettura,Bisuca,201709041346,201709040826,V,P,E,NULL,NULL,201709041411,R,4216.53999999999,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,033CB5,201709,1,1,1,C,Importazione Telelettura,Bisuca,201710030851,201710030830,V,P,E,NULL,NULL,201710031007,R,7135.02000000001,NULL,NULL,NULL,NULL,E,NULL,NULL
