LHH.IDN,LHH.KUT,LHH.MES,LHH.VER,LHH.PUB,LHH.ACT,LHH.FST,LHH.INFO,LHH.UPS,LHH.UPD,LHH.UID,LHH.FVL,LHH.FVA,LHH.FSP,LHH.MRK,LHH.UUD,LHH.UVD,LHH.FIMP,LHH.C1,LHH.LX1,LHH.LX3,LHH.FRC,LHH.FVLD,LHH.FQLD,LHH.NVER,LHH.KAMT
001E,039AFA,201601,1,1,1,C,Importazione Telelettura,Bisuca,201602021025,201602021007,V,O,E,NULL,NULL,201602021040,R,1473677.725,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,039AFA,201602,1,1,1,C,Importazione Telelettura,Bisuca,201603021117,201603020943,V,O,E,NULL,NULL,201603021137,R,1544715.325,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,039AFA,201603,1,1,1,C,Importazione Telelettura,Poirio,201604041735,201604041228,V,O,E,NULL,NULL,201604051014,R,1656438.975,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,039AFA,201604,1,1,1,C,Importazione Telelettura,Bisuca,201605031102,201605031042,V,O,E,NULL,NULL,201605031145,R,1749336.25,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,039AFA,201605,1,1,1,C,Importazione Telelettura,Bisuca,201606061433,201606061421,V,O,E,NULL,NULL,201606070755,R,1899068.5375,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,039AFA,201606,1,1,1,C,Importazione Telelettura,Bisuca,201607041113,201607041014,V,O,E,NULL,NULL,201607041139,R,1649461.625,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,039AFA,201607,1,1,1,C,Importazione Telelettura,Bisuca,201608031142,201608031105,V,O,E,NULL,NULL,201608031410,R,1683847.8375,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,039AFA,201608,1,1,1,C,Importazione Telelettura,Bisuca,201609011546,201609011510,V,O,E,NULL,NULL,201609021004,R,1696583.4625,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,039AFA,201609,1,1,1,C,Importazione Telelettura,Bisuca,201610041059,201610041007,V,O,E,NULL,NULL,201610041412,R,1651279.0125,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,039AFA,201610,1,1,1,C,Importazione Telelettura,Bisuca,201611070955,201611070934,V,O,E,NULL,NULL,201611071141,R,1534618.8375,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,039AFA,201611,1,1,1,C,Importazione Telelettura,Bisuca,201612021031,201612021010,V,O,E,NULL,NULL,201612021124,R,1286671.9875,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,039AFA,201612,1,1,1,C,Importazione Telelettura,Bisuca,201701031252,201701031145,V,O,E,NULL,NULL,201701031329,R,1327167.6875,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,039AFA,201701,1,1,1,C,Importazione Telelettura,Bisuca,201702020900,201702020752,V,O,E,NULL,NULL,201702020923,R,1276964.675,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,039AFA,201702,1,1,1,C,Importazione Telelettura,Bisuca,201703021150,201703021055,V,O,E,NULL,NULL,201703021337,R,1235789.6,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,039AFA,201703,1,1,1,C,Importazione Telelettura,Bisuca,201704061137,201704061132,V,O,E,NULL,NULL,201704061145,R,1413738.5375,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,039AFA,201704,1,1,1,C,Importazione Telelettura,Bisuca,201705021516,201705021449,V,O,E,NULL,NULL,201705021551,R,1345671.225,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,039AFA,201705,1,1,1,C,Importazione Telelettura,Poirio,201706061609,201706061544,V,O,E,NULL,NULL,201706070929,R,1651014.1875,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,039AFA,201706,1,1,1,C,Importazione Telelettura,Bisuca,201707041057,201707041007,V,O,E,NULL,NULL,201707041131,R,1642099.125,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,039AFA,201707,1,1,1,C,Importazione Telelettura,Bisuca,201708021506,201708021451,V,O,E,NULL,NULL,201708030824,R,1755238.525,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,039AFA,201708,1,1,1,C,Importazione Telelettura,Bisuca,201709041109,201709041025,V,O,E,NULL,NULL,201709041130,R,1832501.9875,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,039AFA,201709,1,1,1,C,Importazione Telelettura,Bisuca,201710021116,201710021043,V,O,E,NULL,NULL,201710021147,R,1740843.425,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,039AFA,201710,1,1,1,C,Importazione Telelettura,Bisuca,201711031204,201711031023,V,O,E,NULL,NULL,201711031239,R,1729479.4375,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,039AFA,201711,1,1,1,C,Importazione Telelettura,Bisuca,201712041438,201712041407,V,O,E,NULL,NULL,201712041500,R,1568384.5375,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,039AFA,201712,1,1,1,C,Importazione Telelettura,Poirio,201801021503,201801021431,V,O,E,NULL,NULL,201801021620,R,1331211.075,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,039AFA,201801,1,1,1,C,Importazione Telelettura,Bisuca,201802020812,201802011151,V,O,E,NULL,NULL,201802020920,R,1427591.7,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,039AFA,201802,1,1,1,C,Importazione Telelettura,Bisuca,201803021110,201803021036,V,O,E,NULL,NULL,201803051432,R,1414164.75,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,039AFA,201803,1,1,1,C,Importazione Telelettura,Poirio,201804041127,201804041009,V,O,E,NULL,NULL,201804041225,R,1738784.3125,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,039AFA,201804,1,1,1,C,Importazione Telelettura,Bisuca,201805030815,201805021604,V,O,E,NULL,NULL,201805031327,R,1545247.1,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,039AFA,201805,1,1,1,C,Importazione Telelettura,Poirio,201806051644,201806040956,V,O,E,NULL,NULL,201806060811,R,1859817.8625,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,039AFA,201806,1,1,1,C,Importazione Telelettura,Bisuca,201807021506,201807021353,V,O,E,NULL,NULL,201807030859,R,1881267.675,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,039AFA,201807,1,1,1,C,Importazione Telelettura,Bisuca,201808011238,201808011112,V,O,E,NULL,NULL,201808011454,R,1985946.75,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,039AFA,201808,1,1,1,C,Importazione Telelettura,Bisuca,201809031332,201809031210,V,O,E,NULL,NULL,201809031456,R,1977366.625,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,039AFA,201809,1,1,1,C,Importazione Telelettura,Bisuca,201810021116,201810021013,V,O,E,NULL,NULL,201810021405,R,1707565.1,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,039AFA,201810,1,1,1,C,Importazione Telelettura,Bisuca,201811050958,201811050909,V,O,E,NULL,NULL,201811051438,R,1861766.0375,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,039AFA,201811,1,1,1,C,Importazione Telelettura,Bisuca,201812031350,201812031134,V,O,E,NULL,NULL,201812031614,R,1681571.275,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,039AFA,201812,1,1,1,C,Importazione Telelettura,Bisuca,201901021123,201901021023,V,O,E,NULL,NULL,201901021317,R,1517260.2625,NULL,NULL,NULL,NULL,E,NULL,NULL
