LHH.IDN,LHH.KUT,LHH.MES,LHH.VER,LHH.PUB,LHH.ACT,LHH.FST,LHH.INFO,LHH.UPS,LHH.UPD,LHH.UID,LHH.FVL,LHH.FVA,LHH.FSP,LHH.MRK,LHH.UUD,LHH.UVD,LHH.FIMP,LHH.C1,LHH.LX1,LHH.LX3,LHH.FRC,LHH.FVLD,LHH.FQLD,LHH.NVER,LHH.KAMT
001E,0508A9,201601,1,1,1,C,Importazione Telelettura,Bisuca,201602040759,201602040748,V,P,E,NULL,NULL,201602040805,R,3503.42000000001,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,0508A9,201602,1,1,1,C,Importazione Telelettura,Bisuca,201603040852,201603040828,V,P,E,NULL,NULL,201603040925,R,2467.05999999999,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,0508A9,201603,1,0,0,C,Importazione Telelettura,Bisuca,201604051127,201604051120,N,I,V,NULL,NULL,NULL,R,1067.08,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001E,0508A9,201603,2,1,1,C,Versione Ricostruita 2,Bisuca,201604051135,201604051135,V,P,E,NULL,NULL,201604051136,NULL,1067.08,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,0508A9,201604,1,1,1,C,Importazione Telelettura,Bisuca,201605040755,201605040746,V,P,E,NULL,NULL,201605040757,R,3880.03999999999,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,0508A9,201605,1,0,0,C,Importazione Telelettura,Bisuca,201606070813,201606070808,N,I,V,NULL,NULL,NULL,R,307.16,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001E,0508A9,201605,2,1,1,C,Versione Ricostruita 2,Bisuca,201606070905,201606070905,V,P,E,NULL,NULL,201606080816,NULL,4520.99999999998,NULL,NULL,NULL,NULL,S,NULL,NULL
001E,0508A9,201606,1,1,1,C,Importazione Telelettura,Bisuca,201607040849,201607040751,V,P,E,NULL,NULL,201607040902,R,6247.28,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,0508A9,201607,1,1,1,C,Importazione Telelettura,Bisuca,201608040754,201608040746,V,P,E,NULL,NULL,201608040758,R,8076.06,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,0508A9,201608,1,1,1,C,Importazione Telelettura,Bisuca,201609050835,201609050742,V,P,E,NULL,NULL,201609050900,R,5603.96,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,0508A9,201609,1,1,1,C,Importazione Telelettura,Bisuca,201610060802,201610060750,V,P,E,NULL,NULL,201610060804,R,5937.64,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,0508A9,201610,1,0,0,C,Importazione Telelettura,Bisuca,201611071343,201611071331,N,I,V,NULL,NULL,NULL,R,562.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL
