LHH.IDN,LHH.KUT,LHH.MES,LHH.VER,LHH.PUB,LHH.ACT,LHH.FST,LHH.INFO,LHH.UPS,LHH.UPD,LHH.UID,LHH.FVL,LHH.FVA,LHH.FSP,LHH.MRK,LHH.UUD,LHH.UVD,LHH.FIMP,LHH.C1,LHH.LX1,LHH.LX3,LHH.FRC,LHH.FVLD,LHH.FQLD,LHH.NVER,LHH.KAMT
001E,050BC8,201601,1,1,1,C,Importazione Telelettura,Bisuca,201602030816,201602030746,V,P,E,NULL,NULL,201602030842,R,16521.275,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,050BC8,201602,1,1,1,C,Importazione Telelettura,Bisuca,201603030952,201603030922,V,P,E,NULL,NULL,201603031009,R,16566.05,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,050BC8,201603,1,1,1,C,Importazione Telelettura,Poirio,201604041742,201604040923,V,P,E,NULL,NULL,201604041809,R,14137.75,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,050BC8,201604,1,1,1,C,Importazione Telelettura,Bisuca,201605031424,201605031318,V,P,E,NULL,NULL,201605031441,R,8414.925,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,050BC8,201605,1,1,1,C,Importazione Telelettura,Poirio,201606031404,201606031347,V,P,E,NULL,NULL,201606031413,R,8559.325,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,050BC8,201606,1,1,1,C,Importazione Telelettura,Bisuca,201607040849,201607040755,V,P,E,NULL,NULL,201607040902,R,8870.74999999999,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,050BC8,201607,1,1,1,C,Importazione Telelettura,Bisuca,201608030833,201608030758,V,P,E,NULL,NULL,201608030936,R,11050.1,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,050BC8,201608,1,1,1,C,Importazione Telelettura,Bisuca,201609050835,201609050748,V,P,E,NULL,NULL,201609050900,R,8548.175,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,050BC8,201609,1,1,1,C,Importazione Telelettura,Bisuca,201610050904,201610050818,V,P,E,NULL,NULL,201610050921,R,10109.925,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,050BC8,201610,1,1,1,C,Importazione Telelettura,Bisuca,201611030907,201611030746,V,P,E,NULL,NULL,201611030925,R,11578.975,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,050BC8,201611,1,1,1,C,Importazione Telelettura,Bisuca,201612050827,201612050747,V,P,E,NULL,NULL,201612050908,R,15504.05,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,050BC8,201612,1,1,1,C,Importazione Telelettura,Bisuca,201701030847,201701030733,V,P,E,NULL,NULL,201701030904,R,17210.15,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,050BC8,201701,1,1,1,C,Importazione Telelettura,Bisuca,201702030828,201702030737,V,P,E,NULL,NULL,201702030907,R,18104.525,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,050BC8,201702,1,1,1,C,Importazione Telelettura,Bisuca,201703030918,201703030727,V,P,E,NULL,NULL,201703030947,R,16381.25,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,050BC8,201703,1,1,1,C,Importazione Telelettura,Poirio,201704041752,201704041644,V,P,E,NULL,NULL,201704050921,R,14176.95,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,050BC8,201704,1,1,1,C,Importazione Telelettura,Bisuca,201705040956,201705030900,V,P,E,NULL,NULL,201705041017,R,10210.925,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,050BC8,201705,1,1,1,C,Importazione Telelettura,Bisuca,201706060935,201706060818,V,P,E,NULL,NULL,201706060943,R,11230.125,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,050BC8,201706,1,1,1,C,Importazione Telelettura,Bisuca,201707050759,201707041558,V,P,E,NULL,NULL,201707050811,R,11499.3,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,050BC8,201707,1,1,1,C,Importazione Telelettura,Bisuca,201708030939,201708030744,V,P,E,NULL,NULL,201708031007,R,12024.125,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,050BC8,201708,1,1,1,C,Importazione Telelettura,Bisuca,201709041404,201709040805,V,P,E,NULL,NULL,201709041416,R,11214.55,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,050BC8,201709,1,1,1,C,Importazione Telelettura,Bisuca,201710030857,201710030743,V,P,E,NULL,NULL,201710031011,R,8836.37500000001,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,050BC8,201710,1,1,1,C,Importazione Telelettura,Bisuca,201711030820,201711030734,V,P,E,NULL,NULL,201711030928,R,10704.25,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,050BC8,201711,1,1,1,C,Importazione Telelettura,Bisuca,201712040944,201712040816,V,P,E,NULL,NULL,201712040957,R,14336.6,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,050BC8,201712,1,0,0,C,Importazione Telelettura,Bisuca,201801041348,201801041033,N,I,V,NULL,NULL,NULL,R,732.05,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001E,050BC8,201712,2,0,0,C,Versione Ricostruita 2,Bisuca,201801041504,201801041504,N,P,P,NULL,NULL,NULL,NULL,15895,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001E,050BC8,201712,3,1,1,C,Importazione Telelettura,Poirio,201801051351,201801051330,V,P,E,NULL,NULL,201801080827,R,15895.275,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,050BC8,201801,1,1,1,C,Importazione Telelettura,Poirio,201802050958,201802050835,V,P,E,NULL,NULL,201802051051,R,17145.375,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,050BC8,201802,1,1,1,C,Importazione Telelettura,Bisuca,201803050928,201803050747,V,P,E,NULL,NULL,201803050943,R,15723.075,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,050BC8,201803,1,1,1,C,Importazione Telelettura,Poirio,201804041626,201804041519,V,P,E,NULL,NULL,201804041654,R,15359.475,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,050BC8,201804,1,1,1,C,Importazione Telelettura,Bisuca,201805031446,201805031339,V,P,E,NULL,NULL,201805031536,R,8757.275,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,050BC8,201805,1,0,0,C,Importazione Telelettura,Poirio,201806071010,201806060844,N,I,V,NULL,NULL,NULL,R,135.925,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001E,050BC8,201805,2,0,0,C,Versione Ricostruita 2,Poirio,201806071038,201806071038,N,I,V,NULL,NULL,NULL,NULL,9049,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001E,050BC8,201805,3,1,1,C,Versione Ricostruita 3,Poirio,201806071240,201806071240,V,P,E,NULL,NULL,201806071331,NULL,9049,NULL,NULL,NULL,NULL,S,NULL,NULL
001E,050BC8,201806,1,0,0,N,Curva Non Pervenuta,Bisuca,201807060949,201807050751,N,I,V,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001E,050BC8,201806,2,1,1,C,Versione Ricostruita 2,Bisuca,201807061018,201807061018,V,P,E,NULL,NULL,201807061204,NULL,8756.99999999999,NULL,NULL,NULL,NULL,S,NULL,NULL
001E,050BC8,201807,1,0,0,N,Curva Non Pervenuta,Bisuca,201808071051,201808061009,N,I,V,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001E,050BC8,201807,2,1,1,C,Versione Ricostruita 2,Bisuca,201808071055,201808071055,V,P,E,NULL,NULL,201808071115,NULL,9048.99999999999,NULL,NULL,NULL,NULL,S,NULL,NULL
001E,050BC8,201808,1,0,0,N,Curva Non Pervenuta,Bisuca,201809071043,201809051100,N,I,V,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001E,050BC8,201808,2,1,0,C,Versione Ricostruita 2,Bisuca,201809071050,201809071050,V,P,E,NULL,NULL,201809071121,NULL,9048.99999999999,NULL,NULL,NULL,NULL,S,NULL,NULL
001E,050BC8,201808,3,0,0,C,Importazione Telelettura,Bisuca,201810031457,201810031455,N,I,V,NULL,NULL,NULL,R,2319.125,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001E,050BC8,201808,4,1,1,C,Versione Ricostruita 4,Bisuca,201810031458,201810031458,V,P,E,NULL,NULL,201810031458,NULL,10909,NULL,NULL,NULL,NULL,S,NULL,NULL
001E,050BC8,201809,1,1,1,C,Importazione Telelettura,Bisuca,201810031455,201810030739,V,P,E,NULL,NULL,201810031547,R,8436.05,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,050BC8,201810,1,1,1,C,Importazione Telelettura,Bisuca,201811051651,201811051453,V,P,E,NULL,NULL,201811060730,R,9423.45,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,050BC8,201811,1,1,1,C,Importazione Telelettura,Bisuca,201812050925,201812050737,V,P,E,NULL,NULL,201812051140,R,13073.85,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,050BC8,201812,1,1,1,C,Importazione Telelettura,Bisuca,201901030942,201901030735,V,P,E,NULL,NULL,201901031003,R,16913.225,NULL,NULL,NULL,NULL,E,NULL,NULL
