LHH.IDN,LHH.KUT,LHH.MES,LHH.VER,LHH.PUB,LHH.ACT,LHH.FST,LHH.INFO,LHH.UPS,LHH.UPD,LHH.UID,LHH.FVL,LHH.FVA,LHH.FSP,LHH.MRK,LHH.UUD,LHH.UVD,LHH.FIMP,LHH.C1,LHH.LX1,LHH.LX3,LHH.FRC,LHH.FVLD,LHH.FQLD,LHH.NVER,LHH.KAMT
001E,055F63,201806,1,1,1,C,Importazione Telelettura,Bisuca,201807041359,201807040735,V,O,E,NULL,NULL,201807041411,R,27523.64,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,055F63,201807,1,1,1,C,Importazione Telelettura,Bisuca,201808030956,201808030748,V,O,E,NULL,NULL,201808031221,R,20577.02,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,055F63,201808,1,0,0,C,Importazione Telelettura,Bisuca,201809051132,201809051029,N,I,V,NULL,NULL,NULL,R,611.14,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001E,055F63,201808,2,1,0,C,Versione Ricostruita 2,Bisuca,201809051143,201809051143,V,P,E,NULL,NULL,201809070737,NULL,8058.99999999999,NULL,NULL,NULL,NULL,S,NULL,NULL
001E,055F63,201808,3,1,1,C,Importazione Telelettura,Bisuca,201809100749,201809100748,V,P,E,NULL,NULL,201809100752,R,8059.24,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,055F63,201809,1,1,1,C,Importazione Telelettura,Bisuca,201810040755,201810040743,V,O,E,NULL,NULL,201810040906,R,16284.36,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,055F63,201810,1,0,0,N,Curva Non Pervenuta,Bisuca,201811060928,201811060919,N,I,V,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001E,055F63,201810,2,0,0,C,Versione Ricostruita 2,Bisuca,201811060952,201811060952,N,O,P,NULL,NULL,NULL,NULL,18447,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001E,055F63,201810,3,0,0,C,Importazione Telelettura,Bisuca,201811080755,201811080744,N,I,V,,NULL,NULL,R,1756.76,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001E,055F63,201810,4,0,0,C,Versione Ricostruita 4,Bisuca,201811081003,201811081003,N,N,V,NULL,NULL,NULL,NULL,239487.724746601,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001E,055F63,201810,5,0,0,C,Versione Ricostruita 5,Bisuca,201811081010,201811081010,N,I,V,NULL,NULL,NULL,NULL,18447,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001E,055F63,201810,6,1,1,C,Versione Ricostruita 6,Bisuca,201811081010,201811081010,V,O,E,NULL,NULL,201811081013,NULL,18447,NULL,NULL,NULL,NULL,S,NULL,NULL
001E,055F63,201811,1,0,0,N,Curva Non Pervenuta,Bisuca,201812060910,201812060859,N,I,V,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001E,055F63,201811,2,1,0,C,Versione Ricostruita 2,Bisuca,201812060926,201812060926,V,O,E,NULL,NULL,201812070736,NULL,18534,NULL,NULL,NULL,NULL,S,NULL,NULL
001E,055F63,201811,3,0,0,C,Importazione Telelettura,Bisuca,201812310741,201812310740,N,I,V,NULL,NULL,NULL,R,8778.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001E,055F63,201811,4,0,0,C,Versione Ricostruita 4,Bisuca,201812310741,201812310741,N,N,V,NULL,NULL,NULL,NULL,237139.64845139,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001E,055F63,201811,5,0,0,C,Versione Ricostruita 5,Bisuca,201812310749,201812310749,N,I,V,NULL,NULL,NULL,NULL,18533.9999999998,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001E,055F63,201811,6,1,1,C,Versione Ricostruita 6,Bisuca,201812310749,201812310749,V,O,E,NULL,NULL,201812310750,NULL,18533.9999999998,NULL,NULL,NULL,NULL,S,NULL,NULL
001E,055F63,201812,1,0,0,C,Importazione Telelettura,Poirio,201901080912,201901070814,N,I,V,NULL,NULL,NULL,R,15344.28,NULL,NULL,NULL,NULL,NULL,NULL,NULL
001E,055F63,201812,2,0,0,C,Versione Ricostruita 2,Poirio,NULL,201901080939,N,P,P,NULL,NULL,201901081012,NULL,15344.28,NULL,NULL,NULL,NULL,E,NULL,NULL
001E,055F63,201812,3,0,0,C,Versione Ricostruita 3,Bisuca,201901101334,201901101334,V,P,E,NULL,NULL,201901101334,NULL,15833,NULL,NULL,NULL,NULL,S,NULL,NULL
001E,055F63,201812,4,1,1,C,Importazione Telelettura,Bisuca,201901170747,201901170741,V,P,E,NULL,NULL,201901170750,R,15833.66,NULL,NULL,NULL,NULL,E,NULL,NULL
