LHO.IDN,LHO.KUT,LHO.DHH,LHO.HME,LHO.W1,LHO.W2,LHO.W3,LHO.FCP,LHO.VER,LHO.OUM,LHO.CCK,LHO.FVL,LHO.OH245,LHO.OH145,LHO.OH230,LHO.OH130,LHO.OH115,LHO.OH215,LHO.OH200,LHO.OH100,LHO.DVL100,LHO.DVL115,LHO.DVL130,LHO.DVL145,LHO.DVL200,LHO.DVL215,LHO.DVL230,LHO.DVL245,LHO.DHT
001E,039AFA,2016010101,0100,257.05,0,261.05,E,1,M,4000,V,0,63.5375,0,64.375,65.2625,0,0,63.875,0,0,0,0,0,0,0,0,2016010107
001E,039AFA,2016010102,0200,258.1625,0,259.7,E,1,M,4000,V,0,64.15,0,64.4,64.925,0,0,64.6875,0,0,0,0,0,0,0,0,2016010108
001E,039AFA,2016010103,0300,257.1625,0,258.45,E,1,M,4000,V,0,64.3625,0,64.1125,64.6125,0,0,64.075,0,0,0,0,0,0,0,0,2016010109
001E,039AFA,2016010104,0400,255.2375,0,262.6,E,1,M,4000,V,0,63.2125,0,63.2125,65.65,0,0,63.1625,0,0,0,0,0,0,0,0,2016010110
001E,039AFA,2016010105,0500,256.4875,0,262.1,E,1,M,4000,V,0,63.3,0,64.325,63.3375,0,0,65.525,0,0,0,0,0,0,0,0,2016010111
001E,039AFA,2016010106,0600,262.05,0,264.3,E,1,M,4000,V,0,66.075,0,65.475,64.8375,0,0,65.6625,0,0,0,0,0,0,0,0,2016010112
001E,039AFA,2016010107,0700,264.625,0,266.45,E,1,M,4000,V,0,66.375,0,66.6125,65.7,0,0,65.9375,0,0,0,0,0,0,0,0,2016010113
001E,039AFA,2016010108,0800,262.3875,0,263.05,E,1,M,4000,V,0,65.65,0,65.4625,65.5125,0,0,65.7625,0,0,0,0,0,0,0,0,2016010114
001E,039AFA,2016010109,0900,240.5125,0,248.9,E,1,M,4000,V,0,60.075,0,58.975,62.225,0,0,59.2375,0,0,0,0,0,0,0,0,2016010115
001E,039AFA,2016010110,1000,233.9,0,242.35,E,1,M,4000,V,0,56.8625,0,58.0875,60.5875,0,0,58.3625,0,0,0,0,0,0,0,0,2016010116
001E,039AFA,2016010111,1100,231.1625,0,234.35,E,1,M,4000,V,0,57.5,0,58.1875,56.8875,0,0,58.5875,0,0,0,0,0,0,0,0,2016010117
001E,039AFA,2016010112,1200,236.525,0,239.05,E,1,M,4000,V,0,58.8625,0,59.7625,59.575,0,0,58.325,0,0,0,0,0,0,0,0,2016010118
001E,039AFA,2016010113,1300,236.75,0,240.4,E,1,M,4000,V,0,59.05,0,60.1,58.0375,0,0,59.5625,0,0,0,0,0,0,0,0,2016010119
001E,039AFA,2016010114,1400,242.7125,0,246.8,E,1,M,4000,V,0,61.7,0,59.2875,60.85,0,0,60.875,0,0,0,0,0,0,0,0,2016010120
001E,039AFA,2016010115,1500,230.675,0,236.6,E,1,M,4000,V,0,57.2375,0,59.15,56.85,0,0,57.4375,0,0,0,0,0,0,0,0,2016010121
001E,039AFA,2016010116,1600,227.4375,0,231.7,E,1,M,4000,V,0,57.925,0,55.775,57.65,0,0,56.0875,0,0,0,0,0,0,0,0,2016010122
001E,039AFA,2016010117,1700,249.1625,0,265.6,E,1,M,4000,V,0,62.125,0,58.8375,61.8,0,0,66.4,0,0,0,0,0,0,0,0,2016010123
001E,039AFA,2016010118,1800,980,53.175,1391.5,E,1,M,4000,V,13.975,333.25,0.675,218.525,80.35,0,38.525,347.875,0,0,0,0,0,0,0,0,2016010200
