LHO.IDN,LHO.KUT,LHO.DHH,LHO.HME,LHO.W1,LHO.W2,LHO.W3,LHO.FCP,LHO.VER,LHO.OUM,LHO.CCK,LHO.FVL,LHO.OH245,LHO.OH145,LHO.OH230,LHO.OH130,LHO.OH115,LHO.OH215,LHO.OH200,LHO.OH100,LHO.DVL100,LHO.DVL115,LHO.DVL130,LHO.DVL145,LHO.DVL200,LHO.DVL215,LHO.DVL230,LHO.DVL245,LHO.DHT
001E,055F63,2018060201,0100,6.22,2.08,6.32,E,1,H,80,V,24,76,26,78,79,28,26,78,0,0,0,0,0,0,0,0,2018060207
001E,055F63,2018060202,0200,6.18,1.88,6.24,E,1,H,80,V,23,78,23,76,77,24,24,78,0,0,0,0,0,0,0,0,2018060208
001E,055F63,2018060203,0300,6.2,1.88,6.56,E,1,H,80,V,21,73,23,82,78,26,24,77,0,0,0,0,0,0,0,0,2018060209
001E,055F63,2018060204,0400,6.24,2.04,6.32,E,1,H,80,V,26,78,24,77,79,26,26,78,0,0,0,0,0,0,0,0,2018060210
001E,055F63,2018060205,0500,6.24,2.04,6.4,E,1,H,80,V,26,77,25,80,78,26,25,77,0,0,0,0,0,0,0,0,2018060211
001E,055F63,2018060206,0600,5.26,1.04,6.16,E,1,H,80,V,2,57,25,77,75,24,1,54,0,0,0,0,0,0,0,0,2018060212
001E,055F63,2018060207,0700,4.32,0.14,4.4,E,1,H,80,V,0,53,0,55,53,0,7,55,0,0,0,0,0,0,0,0,2018060213
001E,055F63,2018060208,0800,4.3,0.42,4.48,E,1,H,80,V,2,52,6,53,56,7,6,54,0,0,0,0,0,0,0,0,2018060214
001E,055F63,2018060209,0900,4.36,0.5,4.48,E,1,H,80,V,6,53,6,55,56,7,6,54,0,0,0,0,0,0,0,0,2018060215
001E,055F63,2018060210,1000,4.48,0.56,4.56,E,1,H,80,V,8,56,6,57,54,6,8,57,0,0,0,0,0,0,0,0,2018060216
001E,055F63,2018060211,1100,4.38,0.48,4.56,E,1,H,80,V,8,57,6,53,53,4,6,56,0,0,0,0,0,0,0,0,2018060217
001E,055F63,2018060124,2400,6.22,1.98,6.4,E,1,H,80,V,22,74,24,77,80,27,26,80,0,0,0,0,0,0,0,0,2018060206
001E,055F63,2018060123,2300,6.96,2.44,8.4,E,1,H,80,V,25,78,45,105,89,29,23,76,0,0,0,0,0,0,0,0,2018060205
001E,055F63,2018060122,2200,31.02,6.66,35.44,E,1,H,80,V,91,438,87,380,443,99,56,290,0,0,0,0,0,0,0,0,2018060204
001E,055F63,2018060121,2100,53.96,8.9,54.88,E,1,H,80,V,112,686,103,659,667,111,119,686,0,0,0,0,0,0,0,0,2018060203
001E,055F63,2018060120,2000,52.28,7.08,57.04,E,1,H,80,V,79,638,80,617,713,100,95,646,0,0,0,0,0,0,0,0,2018060202
001E,055F63,2018060119,1900,56.08,7.24,58.64,E,1,H,80,V,89,711,95,715,645,84,94,733,0,0,0,0,0,0,0,0,2018060201
001E,055F63,2018060118,1800,60.42,7.4,64.56,E,1,H,80,V,96,807,98,792,738,92,84,684,0,0,0,0,0,0,0,0,2018060200
001E,055F63,2018060117,1700,63.24,9.04,67.12,E,1,H,80,V,102,788,109,816,839,143,98,719,0,0,0,0,0,0,0,0,2018060123
001E,055F63,2018060116,1600,67.42,11.24,70.96,E,1,H,80,V,153,863,125,813,808,110,174,887,0,0,0,0,0,0,0,0,2018060122
001E,055F63,2018060115,1500,62.96,9.12,63.68,E,1,H,80,V,110,785,109,796,786,128,109,781,0,0,0,0,0,0,0,0,2018060121
001E,055F63,2018060114,1400,55.94,8.12,58,E,1,H,80,V,94,689,98,693,725,110,104,690,0,0,0,0,0,0,0,0,2018060120
001E,055F63,2018060113,1300,59.9,8.48,64.48,E,1,H,80,V,102,714,120,806,779,101,101,696,0,0,0,0,0,0,0,0,2018060119
001E,055F63,2018060112,1200,60.4,8.62,63.44,E,1,H,80,V,102,764,104,724,739,116,109,793,0,0,0,0,0,0,0,0,2018060118
