LHO.DHH,LHO.HME,LHO.W1,LHO.W2,LHO.W3,LHO.FCP,LHO.VER,LHO.OUM,LHO.CCK,LHO.FVL,LHO.OH245,LHO.OH145,LHO.OH230,LHO.OH130,LHO.OH115,LHO.OH215,LHO.OH200,LHO.OH100,LHO.DVL100,LHO.DVL115,LHO.DVL130,LHO.DVL145,LHO.DVL200,LHO.DVL215,LHO.DVL230,LHO.DVL245,LHO.DHT
2017070201,0100,1.08,0.295209867354262,1.44,R,2,H,80,V,2.3306042159547,11,2.3306042159547,11,18,6.21494457587921,3.88434035992451,14,0,0,0,0,0,0,0,0,2017070207
2017070202,0200,6.2,0.994391132140673,7.84,R,2,H,80,V,14.7604933677131,97,13.9836252957282,98,85,15.537361439698,5.43807650389431,30,0,0,0,0,0,0,0,0,2017070208
2017070203,0300,2.04,0.543807650389431,2.32,R,2,H,80,V,4.66120843190941,19,10.0992849358037,28,29,9.32241686381881,3.1074722879396,26,0,0,0,0,0,0,0,0,2017070209
2017070204,0400,2.92,0.372896674552752,3.36,R,2,H,80,V,8.54554879183391,42,3.1074722879396,35,35,3.1074722879396,3.88434035992451,34,0,0,0,0,0,0,0,0,2017070210
2017070205,0500,2.92,0.357359313113055,3.36,R,2,H,80,V,3.1074722879396,34,8.54554879183391,42,35,3.1074722879396,3.1074722879396,35,0,0,0,0,0,0,0,0,2017070211
2017070206,0600,2.82,0.388434035992451,3.36,R,2,H,80,V,2.3306042159547,34,8.54554879183391,42,34,3.1074722879396,5.43807650389431,31,0,0,0,0,0,0,0,0,2017070212
2017070207,0700,1.76,0.528270288949733,2.4,R,2,H,80,V,5.43807650389431,20,10.0992849358037,30,27,5.43807650389431,5.43807650389431,11,0,0,0,0,0,0,0,0,2017070213
2017070208,0800,0.18,0.15537361439698,0.72,R,2,H,80,V,0,0,0,0,9,7.76868071984901,0,0,0,0,0,0,0,0,0,0,2017070214
2017070209,0900,0,0.0776868071984901,0,R,2,H,80,V,0,0,0,0,0,3.88434035992451,0,0,0,0,0,0,0,0,0,0,2017070215
2017070210,1000,4.3,2.42382838459289,8.88,R,2,H,80,V,61.3725776868072,111,0,0,0,0,59.8188415428374,104,0,0,0,0,0,0,0,0,2017070216
2017070211,1100,3.02,3.60466785400994,7.6,R,2,H,80,V,48.9426885350488,34,56.7113692548978,10,12,31.074722879396,43.5046120311545,95,0,0,0,0,0,0,0,0,2017070217
2017070124,2400,1.06,0.264135144474866,1.52,R,2,H,80,V,2.3306042159547,11,2.3306042159547,11,19,6.21494457587921,2.3306042159547,12,0,0,0,0,0,0,0,0,2017070206
2017070123,2300,1.04,0.23306042159547,1.36,R,2,H,80,V,2.3306042159547,11,3.88434035992451,17,13,3.88434035992451,1.5537361439698,11,0,0,0,0,0,0,0,0,2017070205
2017070122,2200,1.02,0.201985698716074,1.52,R,2,H,80,V,2.3306042159547,11,5.43807650389431,19,10,0.776868071984901,1.5537361439698,11,0,0,0,0,0,0,0,0,2017070204
2017070121,2100,0.2,0.15537361439698,0.56,R,2,H,80,V,0,0,3.88434035992451,7,0,0,3.88434035992451,3,0,0,0,0,0,0,0,0,2017070203
2017070120,2000,0.14,0.139836252957282,0.56,R,2,H,80,V,0,0,6.21494457587921,7,0,0.776868071984901,0,0,0,0,0,0,0,0,0,0,2017070202
2017070119,1900,0.1,0.108761530077886,0.4,R,2,H,80,V,0,0,5.43807650389431,5,0,0,0,0,0,0,0,0,0,0,0,0,2017070201
2017070118,1800,0,0,0,R,2,H,80,V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017070200
